rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
128,687749,Jase Bowen,SD,KC,2026-07-18T00:10:00Z,Pre-Game,7,Seth Lugo,607625,R,46.6,Longshot,Watch List,"Projected Lineup, Strong Barrel",27.0,61.6,66.7,59.8,50.0,0.8,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,8,0,"Last 7 games: 1/8, 0 HR","same-side matchup; pitcher baseline 10.5% barrel, 18.6 HR allowed",fly-ball profile; pitcher allows elevated contact,12.5,24.0,85.5,96.2853,0.301,0.104,0.236,73.9,36.2,40.0,44.0,0.0,0.024,10.47,43.94,90.7,0.4856,0.2121,30.3,Out To CF,87,Kauffman Stadium,
129,668939,Adley Rutschman,BAL,HOU,2026-07-18T00:10:00Z,Pre-Game,2,Peter Lambert,663567,R,46.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.2,32.5,41.1,95.5,75.0,20.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","switch hitter; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.36,40.98,89.4,99.6473,0.4282,0.1627,0.3411,70.66,13.11,38.61,28.73,8.3,0.1719,6.8,37.2,88.8,0.347,0.143,33.8,None,72,Daikin Park,
130,664983,Jake McCarthy,COL,CIN,2026-07-18T00:40:00Z,Scheduled,1,Brady Singer,663903,R,46.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",16.0,57.0,38.7,88.7,80.0,37.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 10.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.86,26.41,84.91,96.4638,0.3936,0.1392,0.3056,70.71,11.51,37.1,21.66,8.2,0.1928,10.17,41.47,90.93,0.4573,0.1933,28.54,,,Coors Field,
131,694378,Jacob Gonzalez,PIT,CLE,2026-07-17T23:10:00Z,Pre-Game,8,Gavin Williams,668909,R,46.0,Longshot,Watch List,Platoon Edge,21.8,58.2,67.6,52.4,80.0,3.4,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,14,0,"Last 7 games: 2/14, 0 HR","platoon edge; pitcher baseline 11.0% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,1.5,41.5,88.2,99.1982,0.36,0.118,0.306,71.6,14.8,39.4,28.8,2.0,0.115,11.03,47.31,90.75,0.4246,0.1845,24.39,Out To LF,88,Progressive Field,
132,514888,Jose Altuve,HOU,BAL,2026-07-18T00:10:00Z,Pre-Game,5,Dean Kremer,665152,R,46.0,Longshot,Watch List,Hot Hitter/Streak,17.2,57.9,41.1,86.4,50.0,73.2,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.1% barrel, 12.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.41,32.79,85.59,97.3571,0.3546,0.1239,0.2909,69.0,9.18,46.06,21.74,15.5,0.1714,11.08,34.89,88.38,0.4781,0.2443,38.69,None,72,Daikin Park,
133,676609,José Caballero,NYY,LAD,2026-07-17T23:05:00Z,Pre-Game,7,Roki Sasaki,808963,R,45.8,Longshot,Watch List,Good Environment,8.0,62.3,76.2,64.3,50.0,66.4,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.3% barrel, 15.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.43,26.4,84.46,96.3927,0.3299,0.1066,0.2794,68.96,8.01,41.18,20.96,8.5,0.1362,12.29,45.05,90.39,0.4447,0.2013,29.47,Out To LF,84,Yankee Stadium,
134,693304,Nick Gonzales,PIT,CLE,2026-07-17T23:10:00Z,Pre-Game,6,Gavin Williams,668909,R,45.8,Longshot,Watch List,No major boost,15.3,58.2,67.6,76.2,50.0,30.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 11.0% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.17,36.77,86.7,98.4245,0.3792,0.1042,0.3162,70.5,12.38,40.72,19.93,4.3,0.0887,11.03,47.31,90.75,0.4246,0.1845,24.39,Out To LF,88,Progressive Field,
135,683953,Travis Bazzana,CLE,PIT,2026-07-17T23:10:00Z,Pre-Game,1,Jared Jones,683003,R,45.8,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",20.2,35.7,67.6,93.2,80.0,3.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.3,36.4,88.1,98.5359,0.342,0.122,0.295,69.8,13.3,39.8,29.0,7.0,0.151,7.4,38.3,89.7,0.388,0.163,22.3,Out To LF,88,Progressive Field,
136,696135,Kahlil Watson,CLE,PIT,2026-07-17T23:10:00Z,Pre-Game,6,Jared Jones,683003,R,45.7,Longshot,Watch List,Platoon Edge,26.7,35.7,67.6,76.2,80.0,6.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 7.4% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.2,30.6,89.3,97.9582,0.329,0.132,0.242,73.0,27.7,34.7,26.5,1.0,0.091,7.4,38.3,89.7,0.388,0.163,22.3,Out To LF,88,Progressive Field,
137,805347,Jim Jarvis,ATL,TEX,2026-07-17T23:15:00Z,Pre-Game,8,Cal Quantrill,615698,R,45.7,Longshot,Watch List,"Good Environment, Platoon Edge",17.4,50.9,70.9,52.4,80.0,50.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.3,29.2,85.5,96.013,0.34,0.105,0.262,70.9,13.2,37.5,20.8,1.0,0.167,10.4,37.09,88.09,0.4659,0.2073,30.69,Out To LF,84,Truist Park,
138,682928,CJ Abrams,WSH,ATH,2026-07-18T01:40:00Z,Scheduled,4,Gage Jump,695611,L,45.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",39.3,30.2,30.9,90.4,50.0,70.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 5.1% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.14,40.95,89.54,100.0534,0.4297,0.1777,0.3307,72.68,26.55,44.71,28.66,19.7,0.2173,5.1,40.6,90.0,0.389,0.131,26.1,,,Sutter Health Park,
139,694249,Cole Carrigg,COL,CIN,2026-07-18T00:40:00Z,Scheduled,6,Brady Singer,663903,R,45.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",27.1,54.9,38.7,71.7,75.0,14.6,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","switch hitter; pitcher baseline 10.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.7,30.8,85.9,98.1139,0.405,0.163,0.326,73.5,37.9,46.2,29.5,4.0,0.242,10.17,41.47,90.93,0.4573,0.1933,28.54,,,Coors Field,
140,621493,Taylor Ward,BAL,HOU,2026-07-18T00:10:00Z,Pre-Game,3,Peter Lambert,663567,R,45.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",32.8,33.6,41.1,92.1,50.0,50.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,1,Contact streak: 7/21 over last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.03,40.11,89.61,99.5702,0.4017,0.1553,0.3435,68.59,4.19,33.1,29.8,15.0,0.1469,6.8,37.2,88.8,0.347,0.143,33.8,None,72,Daikin Park,
141,663728,Cal Raleigh,SEA,SF,2026-07-18T02:10:00Z,Scheduled,4,Landen Roupp,694738,R,45.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.7,17.3,25.4,90.4,75.0,18.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","switch hitter; pitcher baseline 5.3% barrel, 8.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.55,37.63,89.13,100.1909,0.4133,0.2187,0.3129,74.85,51.83,53.17,43.9,24.3,0.2013,5.33,30.69,87.07,0.3464,0.1148,22.24,,,T-Mobile Park,
142,668709,JJ Bleday,CIN,COL,2026-07-18T00:40:00Z,Scheduled,4,Gabriel Hughes,687312,R,44.9,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",40.4,8.3,38.7,90.4,80.0,79.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.55,41.15,88.91,100.0768,0.4276,0.1837,0.3404,73.17,28.94,47.21,31.38,15.4,0.2354,0.0,16.7,87.8,0.28,0.065,29.2,,,Coors Field,
143,643289,Mauricio Dubón,ATL,TEX,2026-07-17T23:15:00Z,Pre-Game,5,Cal Quantrill,615698,R,44.7,Longshot,Watch List,Good Environment,12.2,50.9,70.9,86.4,50.0,25.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,30,1,"Last 7 games: 5/30, 1 HR","same-side matchup; pitcher baseline 10.4% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.72,29.52,85.76,96.4718,0.3751,0.112,0.3046,68.69,2.84,32.45,24.67,9.1,0.1427,10.4,37.09,88.09,0.4659,0.2073,30.69,Out To LF,84,Truist Park,
144,681198,TJ Rumfield,COL,CIN,2026-07-18T00:40:00Z,Scheduled,4,Brady Singer,663903,R,44.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",13.9,57.0,38.7,90.4,80.0,14.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 10.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.3,28.2,83.8,96.4401,0.379,0.13,0.323,68.9,8.5,44.4,27.8,12.0,0.179,10.17,41.47,90.93,0.4573,0.1933,28.54,,,Coors Field,
145,805808,Kevin McGonigle,DET,LAA,2026-07-18T01:38:00Z,Scheduled,2,Reid Detmers,672282,L,44.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",34.4,37.7,28.2,95.5,50.0,44.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","same-side matchup; pitcher baseline 8.1% barrel, 10.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.8,37.2,88.0,98.5072,0.445,0.174,0.366,71.3,17.2,39.5,35.0,8.0,0.137,8.06,39.51,89.89,0.3595,0.1362,27.36,,,Angel Stadium,
146,663494,Bryan Torres,STL,AZ,2026-07-18T01:40:00Z,Scheduled,7,Merrill Kelly,518876,R,44.7,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.6,69.9,28.2,59.8,80.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,16,0,"Last 7 games: 1/16, 0 HR","platoon edge; pitcher baseline 12.7% barrel, 20.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.0,30.8,86.6,97.0442,0.403,0.17,0.302,66.2,1.7,46.2,28.8,4.0,0.239,12.66,43.64,90.06,0.5339,0.2447,26.85,,,Chase Field,
147,678011,Anthony Seigler,BOS,TB,2026-07-17T23:10:00Z,Scheduled,1,Mason Englert,669438,R,44.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",19.1,55.8,28.7,88.7,75.0,28.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","switch hitter; pitcher baseline 11.6% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.06,36.52,88.67,97.5828,0.374,0.1202,0.3198,67.32,0.56,31.76,24.58,1.4,0.1182,11.57,40.6,89.84,0.464,0.201,30.85,,,Fenway Park,
148,681297,Colton Cowser,BAL,HOU,2026-07-18T00:10:00Z,Pre-Game,7,Peter Lambert,663567,R,44.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.0,33.6,41.1,59.8,80.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,16,0,"Last 7 games: 1/16, 0 HR","platoon edge; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.14,39.56,88.03,100.5992,0.4166,0.2086,0.3091,74.51,44.78,37.82,32.57,10.4,0.1505,6.8,37.2,88.8,0.347,0.143,33.8,None,72,Daikin Park,
149,678882,Ceddanne Rafaela,BOS,TB,2026-07-17T23:10:00Z,Scheduled,2,Mason Englert,669438,R,44.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",20.7,56.4,28.7,95.5,50.0,37.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,32,1,"Last 7 games: 8/32, 1 HR","same-side matchup; pitcher baseline 11.6% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.19,33.8,86.69,97.7182,0.3712,0.1278,0.2917,70.23,8.83,35.57,24.32,10.4,0.1559,11.57,40.6,89.84,0.464,0.201,30.85,,,Fenway Park,
150,686611,Dylan Crews,WSH,ATH,2026-07-18T01:40:00Z,Scheduled,5,Gage Jump,695611,L,44.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",39.1,30.2,30.9,81.9,78.0,18.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,23,1,"Last 7 games: 2/23, 1 HR","platoon edge; pitcher baseline 5.1% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.75,41.36,90.26,101.5115,0.4168,0.1727,0.3147,73.51,33.36,33.24,26.79,7.2,0.1356,5.1,40.6,90.0,0.389,0.131,26.1,,,Sutter Health Park,
151,663837,Matt Vierling,DET,LAA,2026-07-18T01:38:00Z,Scheduled,1,Reid Detmers,672282,L,44.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",30.8,37.7,28.2,88.7,78.0,24.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,0,"Last 7 games: 6/21, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.13,38.85,88.98,99.1468,0.3933,0.1426,0.3114,71.07,8.69,30.71,31.62,3.8,0.1114,8.06,39.51,89.89,0.3595,0.1362,27.36,,,Angel Stadium,
152,592885,Christian Yelich,MIL,MIA,2026-07-17T23:40:00Z,Scheduled,1,Sandy Alcantara,645261,R,44.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.5,33.1,27.6,88.7,80.0,18.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 15.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.2,43.04,89.36,101.0157,0.3865,0.1583,0.3062,73.19,32.52,35.29,20.35,12.9,0.1516,6.43,37.79,88.95,0.3898,0.1323,24.24,,,American Family Field,
153,677649,Ezequiel Duran,TEX,ATL,2026-07-17T23:15:00Z,Pre-Game,6,Chris Sale,519242,L,43.8,Longshot,Watch List,"Good Environment, Platoon Edge, Hot Hitter/Streak",19.5,22.5,70.9,76.2,78.0,73.0,Yes,No,6,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 6.1% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.19,35.31,87.54,98.9027,0.3531,0.1097,0.289,72.34,24.48,33.98,20.53,7.0,0.1369,6.09,33.37,87.2,0.3396,0.1157,25.62,Out To LF,84,Truist Park,
154,643217,Andrew Benintendi,CWS,TOR,2026-07-17T23:15:00Z,Pre-Game,5,Spencer Miles,693686,R,43.8,Longshot,Watch List,"Strong Barrel, Platoon Edge",41.4,13.9,43.9,86.4,80.0,17.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 4.2% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.19,45.37,88.84,99.0486,0.437,0.1851,0.327,69.54,4.43,52.55,31.5,13.0,0.1868,4.2,34.7,86.6,0.34,0.104,19.8,None,72,Rogers Centre,
155,669242,Tommy Edman,LAD,NYY,2026-07-17T23:05:00Z,Pre-Game,9,Gerrit Cole,543037,R,43.7,Longshot,Watch List,"Good Environment, Platoon Edge",24.0,41.2,76.2,44.8,75.0,29.4,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,0,"Last 7 games: 6/19, 0 HR","switch hitter; pitcher baseline 9.2% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,5.2,37.45,89.0,99.8777,0.4306,0.1153,0.3602,70.55,12.77,43.3,21.32,4.6,0.1416,9.2,40.3,89.5,0.379,0.14,30.8,Out To LF,84,Yankee Stadium,
156,670042,Luke Raley,SEA,SF,2026-07-18T02:10:00Z,Scheduled,6,Landen Roupp,694738,R,43.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",53.5,18.2,25.4,71.7,80.0,13.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 5.3% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.45,45.24,90.27,102.0405,0.4483,0.2092,0.3337,74.71,50.27,47.55,26.72,11.0,0.1895,5.33,30.69,87.07,0.3464,0.1148,22.24,,,T-Mobile Park,
157,691723,Coby Mayo,BAL,HOU,2026-07-18T00:10:00Z,Pre-Game,8,Peter Lambert,663567,R,43.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",46.7,33.6,41.1,47.9,50.0,53.3,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,13,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.8,45.8,90.8,103.1192,0.3882,0.1789,0.296,75.33,53.96,50.88,33.34,11.7,0.1927,6.8,37.2,88.8,0.347,0.143,33.8,None,72,Daikin Park,
158,624585,Jorge Soler,LAA,DET,2026-07-18T01:38:00Z,Scheduled,4,Troy Melton,675512,R,43.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",41.2,33.4,28.2,90.4,50.0,4.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,0,"Last 7 games: 4/27, 0 HR","same-side matchup; pitcher baseline 6.7% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.03,41.51,88.65,101.5905,0.3821,0.1704,0.301,74.63,48.34,50.35,25.1,11.3,0.1755,6.71,40.17,89.54,0.3591,0.1449,25.75,,,Angel Stadium,
159,687859,Troy Johnston,COL,CIN,2026-07-18T00:40:00Z,Scheduled,7,Brady Singer,663903,R,43.1,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.3,57.0,38.7,59.8,80.0,0.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,16,0,"Last 7 games: 1/16, 0 HR","platoon edge; pitcher baseline 10.2% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.36,38.74,89.6,99.0801,0.4041,0.1261,0.3324,70.18,5.58,40.42,23.02,3.3,0.1241,10.17,41.47,90.93,0.4573,0.1933,28.54,,,Coors Field,
160,650859,Luis Rengifo,SD,KC,2026-07-18T00:10:00Z,Pre-Game,9,Seth Lugo,607625,R,42.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",16.3,59.6,66.7,40.2,75.0,17.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","switch hitter; pitcher baseline 10.5% barrel, 18.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.86,34.24,87.52,97.9424,0.3477,0.0961,0.2964,70.55,13.53,35.5,16.96,2.7,0.0627,10.47,43.94,90.7,0.4856,0.2121,30.3,Out To CF,87,Kauffman Stadium,
161,668227,Randy Arozarena,SEA,SF,2026-07-18T02:10:00Z,Scheduled,2,Landen Roupp,694738,R,42.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.6,18.2,25.4,95.5,50.0,60.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 5.3% barrel, 8.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.12,45.07,91.3,101.0467,0.4254,0.1711,0.3459,71.32,24.41,34.4,22.28,15.8,0.1768,5.33,30.69,87.07,0.3464,0.1148,22.24,,,T-Mobile Park,
162,672386,Alejandro Kirk,TOR,CWS,2026-07-17T23:15:00Z,Pre-Game,5,Anthony Kay,641743,L,42.4,Longshot,Watch List,Platoon Edge,21.5,38.4,43.9,86.4,78.0,8.1,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 8.3% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.85,39.81,87.39,99.3011,0.3582,0.1218,0.2918,71.17,16.49,28.45,22.18,5.9,0.1208,8.3,38.8,88.6,0.417,0.149,21.0,None,72,Rogers Centre,
