rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,WSH,2026-07-06T22:45:00Z,Pre-Game,2,Miles Mikolas,571945,R,76.3,Tier 2,Best Overall,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",86.1,57.9,53.7,100.0,80.0,94.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 21.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.65,53.39,94.7,105.157,0.6673,0.3462,0.4518,76.03,60.76,40.67,37.71,22.1,0.269,10.11,40.75,89.65,0.4899,0.2172,28.35,R To L,86,Nationals Park,
12,681624,Andy Pages,LAD,COL,2026-07-07T02:10:00Z,Pre-Game,2,Kyle Freeland,607536,L,59.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.9,59.9,62.6,95.5,78.0,40.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 10.2% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.54,42.38,88.95,100.2091,0.4441,0.1784,0.3342,72.88,25.63,36.15,28.65,19.3,0.1995,10.24,44.71,90.89,0.4856,0.1959,28.8,Out To CF,70,UNIQLO Field at Dodger Stadium,
13,691406,Junior Caminero,TB,NYY,2026-07-06T22:40:00Z,Pre-Game,3,Cam Schlittler,693645,R,58.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",64.3,38.3,41.1,96.6,50.0,85.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 8.5% barrel, 9.4 HR allowed",EV profile; pitcher fly-ball pressure modest,13.51,51.61,93.1,105.4058,0.5073,0.2383,0.3656,79.48,86.0,46.71,23.63,31.7,0.2724,8.48,40.48,88.37,0.3714,0.147,28.0,None,72,Tropicana Field,
14,641343,Jake Bauers,MIL,STL,2026-07-06T23:45:00Z,Pre-Game,5,Dustin May,669160,R,58.7,Longshot,Watch List,"Strong Barrel, Platoon Edge",60.4,42.9,40.1,86.4,80.0,63.1,Yes,No,5,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 11.2 HR allowed",EV profile; pitcher fly-ball pressure modest,13.77,51.06,92.33,103.0255,0.4661,0.2167,0.3561,76.64,70.49,38.66,29.98,13.3,0.2116,7.73,45.9,90.18,0.4006,0.1525,23.96,In From LF,86,Busch Stadium,
15,606192,Teoscar Hernandez,LAD,COL,2026-07-07T02:10:00Z,Pre-Game,5,Kyle Freeland,607536,L,58.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",45.8,59.9,62.6,81.9,78.0,19.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,1,"Last 7 games: 3/23, 1 HR","platoon edge; pitcher baseline 10.2% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.87,45.89,90.27,101.01,0.4361,0.1871,0.3286,72.41,25.12,33.94,29.52,13.1,0.1727,10.24,44.71,90.89,0.4856,0.1959,28.8,Out To CF,70,UNIQLO Field at Dodger Stadium,
16,677951,Bobby Witt Jr.,KC,PHI,2026-07-06T18:10:00Z,In Progress,3,Cristopher Sánchez,650911,L,58.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.0,32.7,47.2,96.6,78.0,64.8,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 9.2 HR allowed",EV profile; pitcher fly-ball pressure modest,12.5,51.51,93.23,103.8045,0.5178,0.2157,0.3832,73.88,41.28,29.68,26.85,15.3,0.185,7.52,42.04,89.07,0.3471,0.1263,17.32,L To R,85,Kauffman Stadium,
17,663757,Trent Grisham,NYY,TB,2026-07-06T22:40:00Z,Pre-Game,1,Griffin Jax,643377,R,57.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",50.7,49.4,41.1,93.2,80.0,52.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.38,46.33,90.96,100.9153,0.463,0.2115,0.3581,70.23,7.58,43.81,31.4,16.5,0.1982,10.31,42.21,88.99,0.4458,0.1828,22.74,None,72,Tropicana Field,
18,691023,Jordan Walker,STL,MIL,2026-07-06T23:45:00Z,Pre-Game,3,Shane Drohan,675660,L,57.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.1,32.0,40.1,96.6,78.0,66.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 5.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.21,50.7,93.42,105.0535,0.4652,0.2061,0.341,78.8,83.33,37.54,24.54,15.8,0.1932,8.7,36.2,87.7,0.355,0.125,27.0,In From LF,86,Busch Stadium,
19,646240,Rafael Devers,SF,TOR,2026-07-07T01:45:00Z,Scheduled,4,Kevin Gausman,592332,R,57.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.9,43.6,19.3,90.4,80.0,88.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 16.8 HR allowed",EV profile; pitcher fly-ball pressure modest,13.34,52.39,92.52,103.0206,0.4702,0.2357,0.3369,71.6,20.36,33.7,33.46,23.1,0.2312,8.5,40.28,89.09,0.4049,0.1648,26.3,,,Oracle Park,
20,572233,Christian Walker,HOU,WSH,2026-07-06T22:45:00Z,Pre-Game,4,Miles Mikolas,571945,R,56.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",44.4,57.9,53.7,94.9,50.0,44.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.08,44.42,90.13,101.7846,0.4042,0.1764,0.3056,74.17,42.32,43.74,28.56,22.1,0.2173,10.11,40.75,89.65,0.4899,0.2172,28.35,R To L,86,Nationals Park,
21,605141,Mookie Betts,LAD,COL,2026-07-07T02:10:00Z,Pre-Game,4,Kyle Freeland,607536,L,56.4,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",35.0,59.9,62.6,90.4,78.0,28.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,0,"Last 7 games: 9/29, 0 HR","platoon edge; pitcher baseline 10.2% barrel, 17.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.46,37.97,90.22,98.6577,0.4388,0.1616,0.337,69.42,8.21,40.45,35.76,13.7,0.1809,10.24,44.71,90.89,0.4856,0.1959,28.8,Out To CF,70,UNIQLO Field at Dodger Stadium,
22,694192,Jackson Chourio,MIL,STL,2026-07-06T23:45:00Z,Pre-Game,2,Dustin May,669160,R,56.1,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",55.0,42.9,40.1,100.0,50.0,63.1,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 11.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.41,45.59,91.4,102.2532,0.4687,0.2168,0.3315,74.6,48.4,33.46,28.85,15.4,0.2231,7.73,45.9,90.18,0.4006,0.1525,23.96,In From LF,86,Busch Stadium,
23,691720,Kyle Karros,COL,LAD,2026-07-07T02:10:00Z,Pre-Game,2,Eric Lauer,641778,L,56.1,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",25.8,55.8,62.6,100.0,78.0,74.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.18,41.26,89.09,99.7956,0.3656,0.1208,0.3168,70.01,5.72,39.57,22.8,5.2,0.1294,10.41,37.77,88.92,0.461,0.2077,38.09,Out To CF,70,UNIQLO Field at Dodger Stadium,
24,669003,Garrett Mitchell,MIL,STL,2026-07-06T23:45:00Z,Pre-Game,6,Dustin May,669160,R,56.0,Longshot,Watch List,"Strong Barrel, Platoon Edge, Hot Hitter/Streak",53.9,42.9,40.1,76.2,80.0,81.7,Yes,No,6,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 11.2 HR allowed",EV profile; pitcher fly-ball pressure modest,13.21,49.06,92.43,103.7477,0.4334,0.1876,0.337,76.87,74.71,34.7,20.0,5.6,0.1629,7.73,45.9,90.18,0.4006,0.1525,23.96,In From LF,86,Busch Stadium,
25,671739,Michael Harris II,ATL,NYM,2026-07-06T23:15:00Z,Pre-Game,1,Freddy Peralta,642547,R,55.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",54.1,30.2,44.9,93.2,80.0,66.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 15.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.46,48.44,91.39,103.9802,0.5024,0.2082,0.3563,74.72,46.37,33.91,23.4,17.2,0.1901,6.22,37.79,87.86,0.3617,0.1347,26.17,In From RF,84,Truist Park,
26,686948,Drake Baldwin,ATL,NYM,2026-07-06T23:15:00Z,Pre-Game,4,Freddy Peralta,642547,R,55.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.9,30.2,44.9,94.9,80.0,27.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,1,"Last 7 games: 5/28, 1 HR","platoon edge; pitcher baseline 6.2% barrel, 15.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.5,48.76,91.21,102.4409,0.501,0.2304,0.367,75.09,54.02,32.22,23.5,16.2,0.1985,6.22,37.79,87.86,0.3617,0.1347,26.17,In From RF,84,Truist Park,
27,805811,Bryce Eldridge,SF,TOR,2026-07-07T01:45:00Z,Scheduled,7,Kevin Gausman,592332,R,54.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",72.1,43.6,19.3,59.8,80.0,39.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 8.5% barrel, 16.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.25,58.58,93.08,103.4524,0.5044,0.2645,0.3685,73.11,28.23,41.0,36.56,4.9,0.163,8.5,40.28,89.09,0.4049,0.1648,26.3,,,Oracle Park,
28,701358,Cam Smith,HOU,WSH,2026-07-06T22:45:00Z,Pre-Game,6,Miles Mikolas,571945,R,54.4,Longshot,Watch List,Strong Barrel,44.2,57.9,53.7,76.2,50.0,53.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 21.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.68,43.6,88.95,101.7736,0.4362,0.1886,0.3285,76.39,66.5,35.18,24.44,10.4,0.1479,10.11,40.75,89.65,0.4899,0.2172,28.35,R To L,86,Nationals Park,
29,592518,Manny Machado,SD,AZ,2026-07-07T01:40:00Z,Scheduled,3,Brandon Pfaadt,694297,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.3,56.1,22.6,92.1,50.0,68.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.5% barrel, 13.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.43,45.97,90.87,101.718,0.4397,0.1988,0.3298,74.64,44.47,39.73,27.94,20.7,0.2102,11.53,41.04,89.89,0.4632,0.2044,21.59,,,Petco Park,
30,547180,Bryce Harper,PHI,KC,2026-07-06T18:10:00Z,In Progress,5,Noah Cameron,702070,L,53.7,Longshot,Watch List,Strong Barrel,56.2,41.8,47.2,86.4,50.0,30.3,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 5 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","same-side matchup; pitcher baseline 7.9% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.16,47.29,90.67,102.2715,0.527,0.2443,0.3925,74.34,46.82,38.54,26.89,22.1,0.2442,7.91,38.38,88.67,0.4436,0.1758,25.26,L To R,85,Kauffman Stadium,
31,665487,Fernando Tatis,SD,AZ,2026-07-07T01:40:00Z,Scheduled,1,Brandon Pfaadt,694297,R,53.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",50.2,56.1,22.6,88.7,50.0,62.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,31,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 11.5% barrel, 13.4 HR allowed",EV profile; pitcher fly-ball pressure modest,11.0,52.57,92.25,104.1997,0.4495,0.168,0.3574,75.19,56.14,31.44,21.52,11.0,0.1248,11.53,41.04,89.89,0.4632,0.2044,21.59,,,Petco Park,
32,666018,Jonathan Aranda,TB,NYY,2026-07-06T22:40:00Z,Pre-Game,2,Cam Schlittler,693645,R,53.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",47.8,38.3,41.1,100.0,80.0,20.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 9.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.73,46.87,91.39,101.2938,0.4723,0.1974,0.3715,70.15,12.37,30.68,29.22,13.3,0.1674,8.48,40.48,88.37,0.3714,0.147,28.0,None,72,Tropicana Field,
