rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,621439,Byron Buxton,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,2,Brendan Beck,694341,R,76.6,Tier 2,Best Overall,"Strong Barrel, Pitcher Vulnerable, Good Environment, Premium Lineup Spot",69.9,85.8,85.2,100.0,50.0,34.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,1,"Last 7 games: 7/31, 1 HR","same-side matchup; pitcher baseline 22.2% barrel, 1.0 HR allowed",fly-ball profile; pitcher allows elevated contact,18.26,49.25,91.17,102.4991,0.5161,0.2667,0.3507,74.44,43.5,48.03,36.24,28.0,0.2996,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
2,665019,Kody Clemens,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,3,Brendan Beck,694341,R,76.1,Tier 2,Best Overall,"Strong Barrel, Pitcher Vulnerable, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.7,85.8,85.2,96.6,80.0,78.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 22.2% barrel, 1.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,12.7,47.11,92.34,101.7002,0.4678,0.2125,0.338,71.92,14.03,42.58,32.62,16.2,0.2378,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
3,699013,Esmerlyn Valdez,PIT,WSH,2026-07-04T15:05:00Z,In Progress,4,Carson Palmquist,687223,L,72.3,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.5,54.2,46.7,94.9,78.0,81.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 3.0 HR allowed",fly-ball profile; pitcher allows elevated contact,29.3,53.7,90.9,104.362,0.634,0.366,0.401,75.1,52.3,22.0,39.0,6.0,0.403,10.07,41.19,91.14,0.4411,0.203,34.05,In From LF,93,Nationals Park,
4,605137,Josh Bell,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,4,Brendan Beck,694341,R,71.1,Tier 2,Watch List,"Strong Barrel, Pitcher Vulnerable, Good Environment, Premium Lineup Spot, Platoon Edge",46.3,85.7,85.2,94.9,75.0,48.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 22.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.98,43.99,89.84,100.9796,0.4626,0.208,0.3387,72.33,27.97,41.43,26.85,14.3,0.1709,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
5,700250,Ben Rice,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,2,Zebby Matthews,805673,R,69.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",61.6,57.1,85.2,100.0,80.0,38.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.7% barrel, 11.3 HR allowed",EV profile; pitcher allows elevated contact,14.63,48.82,92.18,102.3052,0.5152,0.2457,0.3763,72.7,26.52,46.57,29.27,24.6,0.2825,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
6,686527,Dominic Canzone,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,3,Shane Bieber,669456,R,67.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",64.1,88.8,25.4,92.1,80.0,26.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 16.4% barrel, 5.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.2,48.79,92.86,103.4117,0.5288,0.2458,0.3774,74.22,43.49,39.55,26.93,12.4,0.2419,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
7,663757,Trent Grisham,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,1,Zebby Matthews,805673,R,67.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",51.1,57.1,85.2,93.2,80.0,80.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.7% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.52,46.12,90.89,100.856,0.4679,0.2136,0.3609,70.16,7.37,43.53,31.75,16.5,0.1982,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
8,695578,James Wood,WSH,PIT,2026-07-04T15:05:00Z,In Progress,1,Braxton Ashcraft,677952,R,66.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.2,27.8,46.7,93.2,80.0,94.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.5% barrel, 8.6 HR allowed",EV profile; pitcher fly-ball pressure modest,20.74,59.03,95.0,106.4275,0.5658,0.296,0.4023,76.42,65.08,29.21,26.69,24.7,0.2491,5.54,39.62,89.47,0.343,0.1185,25.18,In From LF,93,Nationals Park,
9,668904,Royce Lewis,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,5,Brendan Beck,694341,R,65.4,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Good Environment",41.0,85.8,85.2,86.4,50.0,37.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","same-side matchup; pitcher baseline 22.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.22,41.49,89.31,100.4667,0.3818,0.1593,0.297,74.09,45.05,48.68,32.11,9.5,0.1622,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
10,663616,Trevor Larnach,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,1,Brendan Beck,694341,R,65.0,Tier 3,Watch List,"Pitcher Vulnerable, Good Environment, Premium Lineup Spot, Platoon Edge",28.7,85.8,85.2,93.2,80.0,37.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 22.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.13,37.65,88.1,99.143,0.4016,0.1439,0.3306,71.92,20.19,40.59,25.24,8.6,0.1463,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
11,676369,Nelson Velazquez,STL,CHC,2026-07-05T00:08:00Z,Scheduled,4,Shota Imanaga,684007,L,63.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.5,53.9,29.8,90.4,78.0,30.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,15,1,"Last 7 games: 3/15, 1 HR","platoon edge; pitcher baseline 10.8% barrel, 23.3 HR allowed",lift-pull EV profile; pitcher allows elevated contact,12.5,68.8,94.8,102.6208,0.603,0.301,0.421,75.0,56.8,46.9,34.4,3.0,0.262,10.76,38.25,88.74,0.4249,0.1961,34.53,,,Wrigley Field,
12,696100,Hunter Goodman,COL,SF,2026-07-05T00:10:00Z,Scheduled,3,Robbie Ray,592662,L,63.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.1,52.7,38.7,92.1,78.0,83.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,6,Hot streak: 6 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,16.12,46.97,91.29,103.0552,0.4737,0.2378,0.3275,75.03,50.61,49.61,32.55,28.2,0.2854,9.67,40.78,89.88,0.4193,0.187,35.76,,,Coors Field,
13,670541,Yordan Alvarez,HOU,TB,2026-07-04T23:10:00Z,Scheduled,2,Drew Rasmussen,656876,R,62.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.5,26.6,27.6,95.5,80.0,60.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 11.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.51,53.81,94.7,105.24,0.6638,0.3413,0.4525,76.03,60.76,41.02,36.66,20.7,0.2613,6.23,35.81,88.22,0.354,0.125,22.26,,,Daikin Park,
14,669065,Kyle Stowers,MIA,ATH,2026-07-05T01:40:00Z,Scheduled,3,Aaron Civale,650644,R,62.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.9,57.0,30.9,92.1,80.0,75.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.06,53.47,91.31,103.1796,0.4733,0.223,0.3484,74.93,51.21,48.02,28.42,14.5,0.2266,9.8,43.93,89.9,0.4671,0.2005,33.72,,,Sutter Health Park,
15,701762,Nick Kurtz,ATH,MIA,2026-07-05T01:40:00Z,Scheduled,2,Sandy Alcantara,645261,R,61.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.5,33.0,30.9,95.5,80.0,48.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 15.0 HR allowed",EV profile; pitcher fly-ball pressure modest,18.85,56.63,93.96,105.8401,0.523,0.2675,0.3874,77.97,79.0,34.25,30.56,24.8,0.2688,6.43,37.93,88.88,0.3919,0.1316,24.52,,,Sutter Health Park,
16,670042,Luke Raley,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,6,Shane Bieber,669456,R,61.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Platoon Edge",56.3,88.8,25.4,71.7,80.0,4.5,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","platoon edge; pitcher baseline 16.4% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.87,46.71,90.34,102.0552,0.4616,0.2204,0.34,74.78,50.06,47.62,28.12,11.0,0.2014,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
17,641857,Ryan McMahon,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,7,Zebby Matthews,805673,R,61.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",50.3,57.1,85.2,64.3,80.0,35.6,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,1,"Last 7 games: 4/17, 1 HR","platoon edge; pitcher baseline 11.7% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.47,49.59,91.55,102.2181,0.4134,0.1814,0.3136,74.56,47.31,37.7,31.26,11.6,0.1579,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
18,641343,Jake Bauers,MIL,AZ,2026-07-05T01:40:00Z,Scheduled,5,Merrill Kelly,518876,R,61.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",58.9,69.4,28.2,81.9,80.0,40.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 19.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.21,50.92,92.33,103.0208,0.4612,0.2125,0.3554,76.64,70.49,37.89,29.42,12.6,0.2081,12.59,42.94,90.06,0.536,0.244,27.06,,,Chase Field,
19,663728,Cal Raleigh,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,4,Shane Bieber,669456,R,60.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",50.1,88.3,25.4,90.4,75.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,22,0,"Last 7 games: 2/22, 0 HR","switch hitter; pitcher baseline 16.4% barrel, 5.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.55,36.51,88.71,99.9475,0.414,0.2222,0.3129,74.78,50.85,52.89,44.95,23.6,0.1978,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
20,656941,Kyle Schwarber,PHI,KC,2026-07-05T00:10:00Z,Scheduled,2,Michael Wacha,608379,R,60.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.5,30.7,23.2,95.5,80.0,29.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 5.9% barrel, 11.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,55.12,93.6,104.6194,0.5453,0.2987,0.3877,77.16,76.33,55.54,35.21,37.8,0.3209,5.93,35.3,87.92,0.4035,0.1528,26.29,,,Kauffman Stadium,
21,686797,Brooks Lee,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,6,Brendan Beck,694341,R,59.6,Longshot,Watch List,"Pitcher Vulnerable, Good Environment, Platoon Edge",19.3,85.7,85.2,76.2,75.0,48.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,1,Contact streak: 9/28 over last 7 games,"switch hitter; pitcher baseline 22.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.68,33.11,88.04,97.3483,0.3495,0.1183,0.2806,69.99,8.56,41.85,28.65,14.6,0.1704,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
22,624413,Pete Alonso,BAL,CIN,2026-07-04T23:10:00Z,Scheduled,4,Hunter Greene,668881,R,59.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",68.7,50.8,39.3,90.4,50.0,25.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","same-side matchup; pitcher baseline 9.7% barrel, 15.0 HR allowed",EV profile; pitcher allows elevated contact,14.35,54.05,93.92,103.8599,0.53,0.2598,0.3776,74.88,49.76,37.9,30.74,24.7,0.2275,9.7,45.0,90.4,0.372,0.171,31.9,,,Great American Ball Park,
23,691023,Jordan Walker,STL,CHC,2026-07-05T00:08:00Z,Scheduled,3,Shota Imanaga,684007,L,59.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",59.0,53.9,29.8,92.1,78.0,44.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","platoon edge; pitcher baseline 10.8% barrel, 23.3 HR allowed",EV profile; pitcher allows elevated contact,12.86,50.91,93.35,105.0486,0.4596,0.2012,0.3368,78.8,83.26,37.54,24.33,15.1,0.1876,10.76,38.25,88.74,0.4249,0.1961,34.53,,,Wrigley Field,
24,701398,Sal Stewart,CIN,BAL,2026-07-04T23:10:00Z,Scheduled,2,Brandon Young,687064,R,58.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",63.8,41.3,39.3,95.5,50.0,82.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.8% barrel, 8.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.08,44.73,92.39,101.8377,0.5238,0.2586,0.3686,72.38,27.91,38.64,31.53,13.4,0.2347,7.75,41.57,89.19,0.4152,0.1658,27.36,,,Great American Ball Park,
25,694192,Jackson Chourio,MIL,AZ,2026-07-05T01:40:00Z,Scheduled,2,Merrill Kelly,518876,R,58.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.5,69.4,28.2,95.5,50.0,54.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.6% barrel, 19.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.85,45.31,91.33,102.2394,0.4519,0.2035,0.3252,74.67,48.82,33.32,28.64,14.7,0.2154,12.59,42.94,90.06,0.536,0.244,27.06,,,Chase Field,
26,669003,Garrett Mitchell,MIL,AZ,2026-07-05T01:40:00Z,Scheduled,6,Merrill Kelly,518876,R,58.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",50.4,69.4,28.2,71.7,80.0,81.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.6% barrel, 19.5 HR allowed",EV profile; pitcher fly-ball pressure modest,12.09,48.15,92.15,103.5528,0.4215,0.1771,0.3328,76.87,74.29,35.4,19.44,5.6,0.1643,12.59,42.94,90.06,0.536,0.244,27.06,,,Chase Field,
27,691718,Pete Crow-Armstrong,CHC,STL,2026-07-05T00:08:00Z,Scheduled,1,Kyle Leahy,681517,R,58.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.8,58.5,29.8,88.7,80.0,56.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.63,47.76,90.41,101.9395,0.4792,0.2239,0.349,74.17,44.39,48.76,34.38,22.6,0.2375,11.2,48.37,91.06,0.466,0.1866,22.4,,,Wrigley Field,
28,665862,Jazz Chisholm Jr.,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,6,Zebby Matthews,805673,R,58.5,Longshot,Watch List,"Strong Barrel, Good Environment, Platoon Edge",42.1,57.1,85.2,76.2,80.0,4.5,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","platoon edge; pitcher baseline 11.7% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.45,41.34,90.05,100.2954,0.3991,0.1833,0.3089,73.27,33.85,52.82,29.56,17.7,0.1935,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
29,664040,Brandon Lowe,PIT,WSH,2026-07-04T15:05:00Z,In Progress,2,Carson Palmquist,687223,L,58.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",54.5,54.2,46.7,100.0,50.0,34.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.93,45.97,90.89,101.73,0.4689,0.2212,0.3427,73.69,40.05,45.39,33.34,23.3,0.2448,10.07,41.19,91.14,0.4411,0.203,34.05,In From LF,93,Nationals Park,
30,668952,Ryan Kreidler,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,7,Brendan Beck,694341,R,58.1,Longshot,Watch List,"Pitcher Vulnerable, Good Environment",28.9,85.8,85.2,64.3,50.0,32.9,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","same-side matchup; pitcher baseline 22.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.09,31.05,88.2,98.609,0.3712,0.1525,0.2955,73.45,36.29,41.55,29.77,3.5,0.1421,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
31,668227,Randy Arozarena,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,2,Shane Bieber,669456,R,57.8,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Premium Lineup Spot",39.3,88.8,25.4,95.5,50.0,36.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","same-side matchup; pitcher baseline 16.4% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.84,45.14,91.37,101.0834,0.4142,0.1641,0.3389,71.32,24.06,34.82,21.65,13.7,0.1656,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
32,641355,Cody Bellinger,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,3,Zebby Matthews,805673,R,57.7,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",31.8,57.1,85.2,96.6,80.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,26,0,"Last 7 games: 1/26, 0 HR","platoon edge; pitcher baseline 11.7% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.36,37.2,88.72,98.5789,0.4313,0.1603,0.3496,69.68,3.77,42.4,32.2,16.4,0.1863,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
33,682985,Riley Greene,DET,TEX,2026-07-04T20:05:00Z,Scheduled,4,Kumar Rocker,677958,R,57.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.3,46.3,27.6,90.4,80.0,53.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.65,49.63,91.37,103.0405,0.4749,0.2228,0.3502,75.6,57.55,39.26,31.77,18.5,0.1832,8.79,44.14,89.94,0.4388,0.1717,21.39,,,Globe Life Field,
34,668804,Bryan Reynolds,PIT,WSH,2026-07-04T15:05:00Z,In Progress,3,Carson Palmquist,687223,L,57.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.8,53.9,46.7,96.6,75.0,33.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","switch hitter; pitcher baseline 10.1% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.1,47.47,91.41,102.1993,0.4526,0.1925,0.359,72.76,29.49,40.43,24.48,13.2,0.1794,10.07,41.19,91.14,0.4411,0.203,34.05,In From LF,93,Nationals Park,
