rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,DET,2026-09-21T22:40:00Z,Scheduled,1,River Ryan,689981,R,60.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.6,41.2,27.6,88.7,80.0,18.0,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",EV profile; pitcher fly-ball pressure modest,18.5,57.7,94.93,106.2965,0.5427,0.2729,0.396,76.56,66.5,32.92,24.31,30.3,0.2407,,,,,,,,,Comerica Park,
2,624413,Pete Alonso,BAL,TOR,2026-09-21T22:35:00Z,Scheduled,2,Trey Yesavage,702056,R,58.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.3,32.6,32.1,95.5,50.0,73.0,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 6.6% barrel, 7.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.82,55.66,93.85,104.2744,0.5552,0.2759,0.393,74.78,48.51,36.5,30.67,38.0,0.2415,6.58,42.25,90.01,0.3414,0.1261,25.46,,,Oriole Park at Camden Yards,
3,682674,Victor Bericoto,SF,MIN,2026-09-22T01:45:00Z,Scheduled,3,Zebby Matthews,805673,R,55.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",62.0,54.7,19.3,92.1,50.0,33.7,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,18,1,"Last 7 games: 4/18, 1 HR","same-side matchup; pitcher baseline 10.5% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.4,50.8,90.7,100.8591,0.475,0.248,0.303,74.9,53.8,35.4,29.2,5.0,0.209,10.53,41.18,90.25,0.4344,0.1802,28.36,,,Oracle Park,
4,682985,Riley Greene,DET,WSH,2026-09-21T22:40:00Z,Scheduled,4,,,,54.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",61.9,41.2,27.6,90.4,60.0,46.5,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,1,"Last 7 games: 8/26, 1 HR","handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,46.62,90.18,102.552,0.5029,0.2452,0.3614,75.67,58.29,39.12,33.31,25.5,0.2091,,,,,,,,,Comerica Park,
5,691181,Emmanuel Rodriguez,MIN,SF,2026-09-22T01:45:00Z,Scheduled,8,Blade Tidwell,694918,R,52.9,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",80.1,38.9,19.3,47.9,80.0,6.0,No,Yes,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 6.1 HR allowed",EV profile; pitcher fly-ball pressure modest,23.5,58.8,94.1,104.0493,0.524,0.264,0.343,76.6,76.1,41.2,29.4,1.0,0.207,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
6,680664,Eduardo Valencia,DET,WSH,2026-09-21T22:40:00Z,Scheduled,5,,,,52.4,Longshot,Watch List,"Projected Lineup, Strong Barrel",58.2,41.2,27.6,81.9,60.0,45.0,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,20,0,Contact streak: 9/20 over last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.7,46.2,89.6,101.3333,0.497,0.241,0.337,73.1,29.5,39.7,21.8,6.0,0.276,,,,,,,,,Comerica Park,
7,672960,Kazuma Okamoto,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,4,Shane Baz,669358,R,52.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",53.6,41.8,32.1,90.4,50.0,53.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.5,43.9,90.5,101.2996,0.45,0.226,0.329,73.0,33.6,51.8,34.0,33.0,0.226,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
8,665019,Kody Clemens,MIN,SF,2026-09-22T01:45:00Z,Scheduled,3,Blade Tidwell,694918,R,49.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",52.0,38.9,19.3,92.1,80.0,0.8,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.58,46.69,91.92,101.4284,0.4587,0.209,0.3338,72.06,14.42,46.43,33.25,23.9,0.2238,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
9,691723,Coby Mayo,BAL,TOR,2026-09-21T22:35:00Z,Scheduled,4,Trey Yesavage,702056,R,49.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.2,32.6,32.1,90.4,50.0,44.1,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,1,"Last 7 games: 7/24, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.41,44.33,90.17,102.476,0.4414,0.2167,0.3206,75.47,56.07,49.34,33.69,20.1,0.2221,6.58,42.25,90.01,0.3414,0.1261,25.46,,,Oriole Park at Camden Yards,
10,605137,Josh Bell,MIN,SF,2026-09-22T01:45:00Z,Scheduled,4,Blade Tidwell,694918,R,48.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.0,38.3,19.3,90.4,75.0,50.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,1,Contact streak: 10/30 over last 7 games,"switch hitter; pitcher baseline 9.4% barrel, 6.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.42,43.85,89.98,101.0585,0.4584,0.2024,0.3422,72.26,28.36,41.01,27.06,20.6,0.1695,9.45,34.4,87.99,0.4129,0.1614,26.7,,,Oracle Park,
11,665489,Vladimir Guerrero,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,2,Shane Baz,669358,R,48.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",40.9,41.8,32.1,95.5,50.0,50.3,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.56,46.43,90.95,103.3898,0.436,0.1472,0.3497,76.49,64.38,35.25,19.45,13.2,0.1204,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
12,682928,CJ Abrams,WSH,DET,2026-09-21T22:40:00Z,Scheduled,4,River Ryan,689981,R,48.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.1,41.2,27.6,90.4,80.0,45.3,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,1,"Last 7 games: 9/30, 1 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.14,40.25,89.33,99.8325,0.4192,0.1728,0.3223,72.82,27.12,44.01,28.38,26.7,0.2117,,,,,,,,,Comerica Park,
13,665953,Andres Chaparro,WSH,DET,2026-09-21T22:40:00Z,Scheduled,2,River Ryan,689981,R,48.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",43.0,41.2,27.6,95.5,50.0,44.5,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,17,1,"Last 7 games: 5/17, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.29,41.37,88.38,100.758,0.4055,0.1883,0.3175,74.07,41.46,49.78,26.02,8.0,0.2006,,,,,,,,,Comerica Park,
14,815873,Sean Keys,TOR,BAL,2026-09-21T22:35:00Z,Scheduled,5,Shane Baz,669358,R,48.2,Longshot,Watch List,"Projected Lineup, Platoon Edge",38.1,41.8,32.1,81.9,80.0,41.2,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,1,"Last 7 games: 3/11, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.1,60.7,90.7,102.0315,0.317,0.12,0.24,74.7,48.5,32.1,21.4,2.0,0.152,7.68,41.22,89.91,0.3937,0.149,25.92,,,Oriole Park at Camden Yards,
15,694212,Samuel Basallo,BAL,TOR,2026-09-21T22:35:00Z,Scheduled,5,Trey Yesavage,702056,R,47.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",46.2,32.6,32.1,81.9,80.0,25.3,No,Yes,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,1,"Last 7 games: 3/18, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.21,43.07,90.08,102.0089,0.424,0.1945,0.3099,74.66,47.74,42.6,29.12,13.8,0.1797,6.58,42.25,90.01,0.3414,0.1261,25.46,,,Oriole Park at Camden Yards,
16,701678,Hao-Yu Lee,DET,WSH,2026-09-21T22:40:00Z,Scheduled,3,,,,47.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot",36.2,41.2,27.6,92.1,60.0,60.0,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.9,41.5,89.6,100.4171,0.4,0.165,0.303,71.5,22.2,27.7,25.9,10.0,0.166,,,,,,,,,Comerica Park,
